country,GDP: Gross domestic product (million current US$),GDP per capita (current US$),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Unemployment (% of labour force),"Population density (per km2, 2017)","Life expectancy at birth (females/males, years)",Urban population (% of total population)
Croatia,48676,11479.4,4.6,98.1/97.8,100.6/95.9,79.8/58.8,11.7,74.9,80.4/73.6,59.0
Cuba,87206,7656.6,...,94.9/100.1,102.7/98.2,43.0/30.1,3.0,107.9,81.3/77.1,77.1
Cyprus,19561,21941.9,6.1,99.3/99.3,99.4/100.1,69.4/51.1,10.3,127.7,82.2/77.7,66.9
Czechia,185156,17561.7,4.1,99.9/99.6,106.1/105.1,76.3/54.2,3.9,137.5,81.2/75.1,73.0
Democratic People's Republic of Korea,16283,648.0,-99,76.9/76.7,93.9/92.9,19.8/36.0,4.3,211.7,74.1/67.2,60.9
Democratic Republic of the Congo,37569,486.2,2.2,101.8/112.0,33.3/53.6,4.2/9.1,3.6,35.9,59.5/56.7,42.5
Denmark,301308,53149.3,8.6,100.7/102.3,133.4/128.3,96.3/69.7,6.0,135.1,82.2/78.1,87.7
Djibouti,1737,1956.3,...,60.9/68.6,43.5/52.9,4.0/5.9,6.6,41.3,63.2/60.0,77.3
Dominica,512,7051.1,-99,114.8/117.2,99.8/101.2,-99,...,98.6,.../...,69.5
Dominican Republic,67103,6373.6,...,98.7/108.1,81.7/74.1,65.0/35.4,14.4,222.8,76.4/70.2,79.0
Ecuador,100177,6205.1,5.0,107.9/107.4,109.2/105.3,45.3/34.6,5.8,66.9,78.4/72.8,63.7
Egypt,315917,3452.3,...,103.8/104.1,85.9/86.3,35.6/36.9,11.5,98.0,73.0/68.7,43.1
El Salvador,25850,4219.4,3.5,106.8/111.4,79.7/79.2,30.5/27.7,6.4,307.8,77.1/67.9,66.7
Equatorial Guinea,13812,16344.1,-99,78.2/80.0,.../...,.../...,7.7,45.2,58.4/55.5,39.9
Eritrea,4783,914.9,...,45.9/53.2,28.1/32.9,1.7/3.4,7.3,50.2,65.6/61.4,22.6
Estonia,22460,17112.0,5.5,98.5/98.3,114.7/115.6,84.8/55.4,7.2,30.9,81.2/71.8,67.5
Ethiopia,59917,602.8,4.5,97.2/106.9,34.4/35.9,5.3/10.9,5.7,105.0,65.5/61.9,19.5
Falkland Islands (Malvinas),-99,-99.0,-99,-99,-99,-99,1.2,0.2,-99,76.2
Faroe Islands,-99,-99.0,-99,-99,-99,-99,4.0,35.3,84.5/78.3,42.0
Fiji,4391,4921.9,3.9,105.1/106.0,93.4/84.3,.../...,7.7,49.6,72.9/66.9,53.7
Finland,231960,42148.1,7.2,101.4/101.7,156.3/142.8,95.6/79.3,8.9,18.2,83.7/77.7,84.2
France,2418946,36304.2,5.5,105.0/105.7,111.2/110.1,71.0/57.9,9.8,118.7,85.0/78.8,79.5
French Guiana,-99,-99.0,-99,-99,-99,-99,21.3,3.4,82.6/76.1,84.4
French Polynesia,5135,18161.0,-99,-99,-99,-99,17.0,77.3,78.6/74.0,55.9
Gabon,13735,7960.7,2.7,139.9/144.0,-99,.../...,18.1,7.9,65.8/63.1,87.2
Gambia,942,473.2,2.8,96.8/90.1,.../...,2.5/3.7,29.7,207.6,61.6/59.1,59.6
Georgia,13965,3491.4,2.0,118.2/115.5,103.8/103.6,47.8/39.2,11.4,56.3,77.0/68.5,53.6
Germany,3363600,41686.2,5.0,104.7/105.2,99.6/105.6,66.8/69.7,4.2,235.6,82.9/77.9,75.3
Ghana,37156,1355.6,6.2,108.7/107.3,61.1/63.1,13.2/19.1,5.9,126.7,62.6/60.7,54.0
Gibraltar,-99,-99.0,-99,-99,-99,-99,-99,3457.1,.../...,100.0
Greece,194860,17788.0,...,97.1/98.1,103.4/109.5,113.7/114.0,23.0,86.6,83.3/78.0,78.0
Greenland,2078,36976.7,-99,-99,-99,-99,9.7,0.1,73.4/68.7,86.4
Grenada,954,8933.8,...,102.9/106.8,99.0/99.4,97.9/84.5,...,317.1,75.6/70.8,35.6
Guadeloupe,-99,-99.0,-99,-99,-99,-99,26.1,266.0,84.0/76.8,98.4
Guam,-99,-99.0,-99,-99,-99,-99,10.7,304.1,81.5/76.4,94.5
Guatemala,63794,3903.5,3.0,99.8/103.8,63.3/67.9,23.5/20.2,2.4,157.8,75.6/69.2,51.6
Guinea-Bissau,978,530.0,2.2,.../...,.../...,-99,6.5,66.2,57.7/54.3,49.3
Guinea,8875,703.9,3.2,83.8/98.6,30.7/46.8,6.7/14.9,6.8,51.8,58.4/57.4,37.2
Guyana,3282,4278.8,3.2,83.9/86.9,89.0/89.7,16.8/8.2,11.3,4.0,68.6/64.0,28.6
Haiti,8501,793.7,-99,-99,-99,-99,12.9,398.4,64.4/60.2,58.6
Holy See,-99,-99.0,-99,-99,-99,-99,-99,1800.0,-99,100.0
Honduras,20365,2521.9,5.9,110.1/111.3,77.0/64.8,25.4/18.8,5.6,82.8,75.4/70.4,54.7
Hungary,121715,12350.6,4.7,101.3/101.9,105.3/105.1,56.7/45.3,4.5,107.4,78.8/71.7,71.2
Iceland,16780,50936.0,7.8,98.6/99.7,121.0/116.3,103.1/60.2,3.6,3.3,83.8/80.6,94.1
India,2116239,1614.2,3.8,115.1/102.8,74.5/73.5,26.7/27.0,3.4,450.4,69.1/66.2,32.7
Indonesia,861934,3346.5,3.6,104.4/107.2,86.0/85.7,25.7/22.9,5.8,145.7,70.7/66.6,53.7
Iran (Islamic Republic of),398563,5038.1,2.9,111.7/106.3,88.9/89.4,67.7/75.9,11.3,49.8,76.2/74.0,73.4
Iraq,164234,4509.0,-99,.../...,.../...,.../...,16.1,88.1,71.4/67.0,69.5
Ireland,283716,60513.6,5.3,102.0/100.9,129.4/125.6,87.6/80.1,7.6,69.1,83.0/78.7,63.2
Isle of Man,-99,-99.0,-99,-99,-99,-99,2.6,147.9,-99,52.2
Israel,299413,37129.4,5.8,105.1/104.4,103.0/102.0,75.5/54.6,5.9,384.5,83.7/80.0,92.1
Italy,1821580,30462.4,4.1,100.6/101.4,101.7/104.1,72.2/53.2,11.4,201.8,84.7/79.9,69.0
Jamaica,14262,5105.8,5.5,.../...,85.1/79.2,34.6/20.1,13.1,266.9,77.9/73.1,54.8
Japan,4383076,34628.7,3.6,101.2/101.3,101.9/101.6,60.9/65.7,3.0,349.7,86.4/80.0,93.5
Jordan,37517,4940.1,-99,97.6/97.1,84.8/80.2,47.3/42.5,13.4,109.3,75.5/72.2,83.7
Kazakhstan,181754,10312.1,2.8,109.1/108.8,113.5/110.6,51.3/41.4,5.6,6.7,73.9/64.3,53.2
Kenya,63399,1376.7,5.3,108.7/109.3,.../...,.../...,10.8,87.3,67.8/63.0,25.6
Kiribati,162,1442.9,...,106.1/102.9,.../...,-99,...,143.7,68.9/62.4,44.3
Kuwait,114054,29303.9,...,103.0/102.4,102.7/88.2,33.1/20.4,2.2,232.1,75.5/73.5,98.3
Kyrgyzstan,6572,1106.4,5.5,106.8/107.9,92.8/91.4,53.3/40.8,7.7,31.5,74.3/66.4,35.7
Lao People's Democratic Republic,12585,1850.2,3.3,109.1/113.5,59.3/64.1,16.5/17.3,1.5,29.7,66.8/63.9,38.6
Latvia,27004,13704.1,5.3,99.2/100.1,119.1/119.9,79.2/55.5,9.6,31.3,78.7/68.8,67.4
Lebanon,50149,8571.4,2.6,88.3/96.6,61.0/61.5,45.7/39.5,7.0,594.6,80.9/77.3,87.8
Lesotho,2008,940.6,...,104.0/107.0,62.0/45.7,11.7/8.0,27.5,73.6,54.7/50.1,27.3
Liberia,2053,455.9,2.8,89.1/98.5,32.5/41.9,9.0/14.2,4.1,49.1,61.6/59.8,49.7
Libya,34457,5488.2,-99,.../...,.../...,.../...,19.2,3.6,74.4/68.8,78.6
Liechtenstein,6361,169491.8,2.6,104.8/106.5,101.7/130.7,21.9/44.8,2.6,237.0,-99,14.3
Lithuania,41402,14383.7,4.6,103.7/103.2,106.1/110.3,82.0/55.8,9.2,46.1,79.3/68.5,66.5
Luxembourg,56802,100160.8,4.1,97.3/96.9,103.5/101.1,20.7/18.2,5.6,225.3,83.4/78.8,90.2
Madagascar,9739,401.8,2.1,148.9/148.9,38.1/38.8,4.6/5.0,2.3,44.0,66.0/63.0,35.1
Malawi,6420,372.9,5.6,147.0/144.0,41.0/45.8,0.6/1.0,6.8,197.5,63.1/58.2,16.3
Malaysia,296284,9768.4,5.0,101.9/101.7,80.7/74.6,31.8/20.8,3.3,96.3,77.1/72.6,74.7
Maldives,3435,9446.5,5.2,98.6/97.3,.../...,20.3/12.4,2.9,1454.4,77.4/75.4,45.5
Mali,13100,744.3,3.7,72.1/79.3,36.8/45.6,4.1/9.6,8.1,15.2,56.9/55.6,39.9
Malta,9747,23280.7,7.8,104.7/102.2,98.1/91.7,55.2/40.3,5.4,1346.4,82.0/78.6,95.4
Marshall Islands,183,3452.6,...,93.3/93.5,80.4/73.1,41.2/44.6,4.7,295.2,72.5/71.3,72.7
Martinique,-99,-99.0,-99,-99,-99,-99,22.8,363.1,84.4/77.8,88.9
Mauritania,5023,1235.0,2.9,105.0/100.0,29.5/31.7,3.6/7.1,12.0,4.3,64.1/61.2,59.9
Mauritius,11511,9040.9,4.9,103.9/102.2,97.9/93.6,41.7/31.7,7.6,623.2,77.7/70.7,39.7
Mayotte,-99,-99.0,-99,-99,-99,-99,-99,674.8,82.9/76.0,47.0
Mexico,1140724,8980.9,5.3,103.2/103.6,93.5/87.7,30.0/29.9,4.1,66.4,78.9/74.0,79.2
Micronesia (Federated States of),315,3015.2,12.5,95.7/95.4,.../...,-99,-99,150.8,69.8/67.7,22.4
Monaco,6258,165870.6,1.0,-99,-99,-99,...,25969.8,-99,100.0
Mongolia,11758,3973.4,4.6,100.0/101.8,92.4/90.5,79.7/57.7,6.3,2.0,72.7/64.5,72.0
Montenegro,4020,6424.1,-99,93.3/95.2,90.3/90.4,.../...,17.4,46.8,78.8/74.0,64.0
Montserrat,59,11553.4,...,.../...,.../...,-99,5.6,51.8,-99,9.0
Morocco,100359,2919.3,...,111.6/117.7,63.5/74.4,27.5/28.7,10.4,80.1,76.0/73.7,60.2
Mozambique,14806,529.2,6.5,101.2/110.4,31.1/33.8,5.4/7.4,24.1,37.7,58.1/54.0,32.2
Myanmar,62601,1161.5,-99,98.3/101.0,52.0/50.6,14.9/12.1,0.8,81.7,68.3/63.7,34.1
Namibia,11491,4673.6,...,109.5/113.3,.../...,.../...,24.9,3.1,64.3/59.1,46.7
Nauru,189,18469.2,-99,100.4/109.5,83.4/81.9,-99,23.0,568.0,64.8/57.8,100.0
Nepal,20658,724.5,3.7,141.2/130.7,72.2/67.1,15.1/14.8,3.0,204.4,70.4/67.4,18.6
Netherlands,750318,44332.1,5.5,104.4/105.0,136.3/134.7,82.5/74.7,5.6,505.2,83.1/79.4,90.5
New Caledonia,8937,33965.7,-99,-99,-99,-99,15.1,15.1,79.3/73.7,70.2
New Zealand,173417,38294.3,6.4,99.1/99.6,119.9/113.4,96.7/71.6,5.5,17.9,83.1/79.5,86.3
Nicaragua,12693,2086.9,...,.../...,.../...,.../...,6.1,51.7,77.5/71.4,58.8
Niger,7143,359.0,6.7,66.8/77.9,17.2/24.2,0.9/2.6,2.7,17.0,59.5/57.6,18.7
Nigeria,494583,2714.5,-99,92.8/94.5,53.5/57.8,8.3/11.8,5.4,209.6,52.6/51.2,47.8
Niue,-99,-99.0,-99,120.2/147.2,114.1/104.1,-99,...,6.2,76.3/70.1,42.5
Northern Mariana Islands,-99,-99.0,-99,-99,-99,-99,...,119.9,77.9/74.9,89.2
Norway,386578,74185.5,7.4,100.3/100.5,111.1/114.7,91.5/62.8,5.1,14.5,83.6/79.5,80.5
Oman,69832,15550.8,5.0,111.2/107.4,107.9/101.0,-99,17.8,15.0,78.7/74.5,77.6
Pakistan,266458,1410.4,2.6,85.2/99.7,39.2/49.5,9.2/10.6,5.9,255.6,66.8/65.0,38.8
Palau,258,12122.5,...,99.0/100.3,95.2/96.2,76.1/49.1,...,47.2,77.8/68.1,87.1
Panama,52132,13268.1,3.2,100.9/103.5,78.3/72.9,46.5/31.2,6.2,55.1,80.5/74.3,66.6
Papua New Guinea,21315,2797.6,-99,109.3/119.8,34.6/45.8,-99,2.5,18.2,67.4/62.6,13.0
Paraguay,27714,4174.4,5.0,104.3/107.6,79.1/74.2,.../...,5.5,17.1,74.9/70.7,59.7
Peru,190428,6069.1,4.0,101.7/101.7,95.8/95.7,.../...,5.3,25.1,76.8/71.5,78.6
Philippines,292449,2904.2,...,116.9/116.8,92.7/84.4,40.3/31.4,5.9,351.9,72.1/65.4,44.4
Poland,477066,12355.5,4.9,100.7/100.5,106.1/110.0,82.6/54.2,5.3,124.6,81.0/72.9,60.5
Portugal,199122,19239.2,5.1,105.3/109.4,117.3/121.0,65.7/58.0,10.5,112.8,83.5/77.3,63.5
Puerto Rico,102906,27939.0,6.4,90.4/89.1,83.9/78.8,98.8/70.1,12.8,413.0,83.2/75.2,93.6
Qatar,164641,73653.4,3.6,103.6/102.4,103.6/82.0,43.9/6.3,0.3,227.3,79.4/76.8,99.2
Republic of Korea,1377873,27396.7,5.1,98.7/99.3,98.4/99.3,80.2/104.8,3.6,524.3,84.4/77.9,82.5
Republic of Moldova,6475,1591.4,7.5,91.9/92.9,86.5/85.8,47.4/35.3,5.0,123.3,75.2/66.7,45.0
Romania,177956,9120.7,3.1,89.0/90.5,92.0/92.5,59.0/47.8,7.1,85.5,78.4/71.4,54.6
Russian Federation,1326016,9243.3,3.9,100.9/100.1,103.4/105.5,88.3/72.9,5.8,8.8,75.9/64.7,74.0
Rwanda,8096,697.3,3.6,133.4/131.7,38.2/35.2,6.9/9.1,2.4,494.9,67.1/63.1,28.8
Saint Helena,-99,-99.0,-99,-99,-99,-99,...,10.4,-99,39.4
Saint Kitts and Nevis,876,15771.9,2.8,83.4/81.7,92.8/88.0,107.2/52.6,...,212.9,-99,32.0
Saint Lucia,1450,7839.4,4.9,.../...,84.8/85.5,22.0/11.6,19.0,293.2,77.6/72.2,18.5
Saint Pierre and Miquelon,-99,-99.0,-99,-99,-99,-99,-99,27.5,-99,90.4
Saint Vincent and the Grenadines,738,6739.2,...,103.2/105.8,105.0/107.9,-99,19.1,281.8,74.9/70.7,50.6
Samoa,774,4006.0,...,106.7/106.7,89.5/80.7,.../...,6.5,69.4,77.4/71.1,19.1
San Marino,1565,49240.2,2.4,92.6/93.9,95.9/93.5,69.9/50.5,6.6,556.7,86.4/81.7,94.2
Sao Tome and Principe,334,1752.8,3.8,112.2/117.7,91.7/80.8,13.6/13.2,13.6,212.8,68.2/64.0,65.1
Saudi Arabia,653219,20710.6,...,111.1/107.9,93.7/122.6,61.8/64.4,5.5,15.3,75.6/72.7,83.1
Senegal,13633,901.1,7.4,86.9/77.6,49.1/50.2,7.8/12.9,9.3,82.3,67.5/63.8,43.7
Serbia,37160,5238.6,4.2,101.2/101.5,97.4/96.0,66.9/50.2,15.5,100.5,77.5/71.8,55.6
Seychelles,1363,14133.2,3.6,103.6/101.1,84.5/78.8,19.6/9.3,4.1,206.0,77.9/68.7,53.9
Sierra Leone,4483,694.8,2.7,128.2/127.0,40.1/46.5,.../...,3.1,104.7,50.7/49.6,39.9
Singapore,292734,52239.0,2.9,-99,-99,-99,2.0,8155.5,84.5/80.1,100.0
Sint Maarten (Dutch part),1094,28241.7,-99,-99,-99,-99,-99,1180.0,77.1/69.2,100.0
Slovakia,87268,16082.5,4.2,99.2/100.2,92.8/92.1,64.6/41.8,9.9,113.3,79.8/72.6,53.6
Slovenia,42777,20689.8,5.5,99.4/99.2,110.5/110.8,98.5/68.2,8.1,103.3,83.2/77.2,49.7
Solomon Islands,1075,1841.6,...,113.6/115.0,47.0/49.8,-99,31.4,21.8,71.1/68.3,22.3
Somalia,1559,144.5,-99,.../...,.../...,-99,6.6,23.5,56.5/53.3,39.6
South Africa,314571,5773.0,6.0,97.3/102.2,111.5/88.0,23.3/15.7,26.0,46.8,63.0/56.1,64.8
South Sudan,13167,1067.0,1.8,53.1/74.9,6.6/12.3,-99,...,20.6,56.0/54.1,18.8
Spain,1192955,25865.4,4.3,105.6/104.5,129.6/130.0,97.1/82.5,18.3,92.9,85.3/79.6,79.6
Sri Lanka,82316,3973.7,2.2,100.6/102.7,102.0/97.5,24.0/15.6,5.2,332.9,78.0/71.2,18.4
State of Palestine,12677,2715.5,1.3,94.3/94.4,87.0/79.2,54.4/34.5,24.2,817.4,74.8/71.1,75.3
Sudan,79546,1977.0,...,66.6/74.1,41.5/43.9,16.8/15.8,13.4,23.0,65.1/62.1,33.8
Suriname,4879,8985.3,-99,121.4/124.2,90.9/71.7,.../...,9.9,3.6,74.2/67.8,66.0
Swaziland,4133,3211.7,7.0,108.0/117.5,65.8/66.2,5.5/5.2,25.1,79.5,58.2/51.6,21.3
Sweden,495694,50687.5,7.7,125.6/120.6,150.0/131.5,75.7/49.6,7.3,24.2,83.7/80.0,85.8
Switzerland,670790,80831.1,5.1,103.8/104.1,99.4/103.0,58.5/56.9,4.6,214.5,84.8/80.5,73.9
Syrian Arab Republic,28393,1534.5,...,78.7/81.4,50.5/50.5,47.0/41.3,13.8,99.5,76.3/64.4,57.7
Tajikistan,7853,925.9,5.2,101.2/99.8,83.1/92.5,24.0/33.6,10.8,63.7,73.5/67.7,26.8
Thailand,395168,5814.8,4.1,99.2/106.1,125.3/132.6,57.3/40.5,0.6,135.1,78.4/70.8,50.4
The former Yugoslav Republic of Macedonia,10052,4836.1,...,92.8/93.6,78.2/80.3,46.8/37.5,27.3,82.6,77.2/73.2,57.1
Timor-Leste,2873,2425.4,7.8,136.2/137.5,79.6/74.1,.../...,4.3,87.2,69.5/66.1,32.8
Togo,4086,559.4,5.2,118.5/125.1,.../...,6.4/14.9,6.8,143.4,59.8/58.3,40.0
Tokelau,-99,-99.0,-99,114.3/121.0,120.7/129.1,-99,-99,130.0,-99,0.0
Tonga,402,3784.5,...,107.5/108.6,94.2/86.4,.../...,4.8,150.0,75.6/69.6,23.7
Trinidad and Tobago,25927,19062.9,...,.../...,.../...,.../...,4.2,266.9,73.8/66.9,8.4
Tunisia,41199,3660.9,6.3,112.5/115.8,94.2/90.0,43.3/26.2,14.6,74.2,77.1/73.0,66.8
Turkey,717888,9125.8,4.8,102.1/102.8,101.1/103.8,88.3/101.0,10.8,104.9,78.1/71.5,73.4
Turkmenistan,37597,6996.7,3.1,88.6/90.1,83.7/86.9,6.2/9.7,8.6,12.3,70.8/63.9,50.0
Turks and Caicos Islands,863,25121.8,3.3,-99,-99,-99,...,37.3,77.8/75.8,92.2
Tuvalu,33,3362.4,-99,104.3/103.0,97.5/76.0,-99,...,373.1,.../...,59.7
Uganda,25282,647.7,2.2,110.9/108.9,22.1/24.3,4.2/5.4,2.4,214.5,60.7/56.5,16.1
Ukraine,90615,2021.6,5.9,105.1/102.8,98.2/100.2,88.4/76.5,8.8,76.3,76.0/66.1,69.7
United Arab Emirates,370296,40438.8,-99,116.0/116.7,-99,-99,3.7,112.4,78.2/76.0,85.5
United Kingdom,2858003,44162.4,5.7,108.1/108.4,130.4/125.3,64.1/49.0,5.0,273.6,82.8/79.0,82.6
